subject,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S13,S14,S15,S16,S17,total
DT_AUC,0.916376307,0.878654971,1,0.988888889,0.888888889,1,0.95530303,0.811111111,0.651162791,0.84984985,0.943939394,0.944444444,0.852941176,1,0.937338501,0.907926624
RF_AUC,0.928571429,0.906432749,1,0.977777778,0.861111111,1,0.866666667,0.822222222,0.61627907,0.944444444,0.943939394,0.988888889,0.80130719,1,0.953488372,0.907408621
AB_AUC,0.857142857,0.934210526,1,1,0.944444444,1,0.9,0.805555556,0.61627907,0.972972973,0.921212121,0.977777778,0.812418301,1,0.906976744,0.909932691
KN_AUC,0.987804878,0.947368421,1,0.944444444,0.877260982,1,0.933333333,0.822222222,1,0.986486486,0.910606061,0.857309942,0.779084967,0.947368421,0.906976744,0.92668446
LDA_AUC,0.928571429,0.894736842,1,1,0.888888889,1,0.9,0.777777778,0.975,1,0.977272727,0.973684211,0.760784314,1,0.906976744,0.932246196
SVM_AUC,0.964285714,0.934210526,1,0.955555556,0.916666667,1,0.933333333,0.783333333,1,1,0.965909091,0.842105263,0.760784314,0.973684211,0.895348837,0.92834779
GB_AUC,0.928571429,0.934210526,1,0.988888889,0.916666667,1,0.833333333,0.833333333,0.651162791,0.917417417,0.899242424,0.977777778,0.882352941,1,0.965116279,0.91520492
DT_F1,0.888888889,0.820512821,1,0.941176471,0.875,1,0.933333333,0.75,0.571428571,0.780487805,0.903225806,0.88372093,0.827586207,1,0.894736842,0.871339845
RF_F1,0.923076923,0.85,1,0.888888889,0.838709677,1,0.846153846,0.774193548,0.547945205,0.941176471,0.903225806,0.974358974,0.733333333,1,0.9,0.874737512
AB_F1,0.833333333,0.87804878,1,1,0.941176471,1,0.888888889,0.75862069,0.547945205,0.947368421,0.848484848,0.95,0.75862069,1,0.818181818,0.87804461
KN_F1,0.965517241,0.9,1,0.761904762,0.848484848,1,0.928571429,0.774193548,1,0.972972973,0.866666667,0.823529412,0.6875,0.944444444,0.818181818,0.886131143
LDA_F1,0.923076923,0.818181818,1,1,0.875,1,0.888888889,0.714285714,0.974358974,1,0.9375,0.972972973,0.666666667,1,0.818181818,0.905940918
SVM_F1,0.962962963,0.87804878,1,0.8,0.909090909,1,0.928571429,0.709677419,1,1,0.909090909,0.8125,0.666666667,0.972972973,0.8,0.889972137
GB_F1,0.923076923,0.87804878,1,0.941176471,0.909090909,1,0.8,0.8,0.571428571,0.888888889,0.838709677,0.95,0.866666667,1,0.923076923,0.886010921
DT_ACC,0.945454545,0.875,1,0.981132075,0.93442623,1,0.966101695,0.873015873,0.523809524,0.836363636,0.949152542,0.921875,0.919354839,1,0.93442623,0.910674146
RF_ACC,0.963636364,0.892857143,1,0.962264151,0.918032787,1,0.93220339,0.888888889,0.476190476,0.963636364,0.949152542,0.984375,0.870967742,1,0.93442623,0.915775405
AB_ACC,0.927272727,0.910714286,1,1,0.967213115,1,0.949152542,0.888888889,0.476190476,0.963636364,0.915254237,0.96875,0.887096774,1,0.868852459,0.914868125
KN_ACC,0.965517241,0.9,1,0.761904762,0.848484848,1,0.928571429,0.774193548,1,0.972972973,0.866666667,0.823529412,0.6875,0.944444444,0.818181818,0.886131143
LDA_ACC,0.963636364,0.857142857,1,1,0.93442623,1,0.949152542,0.873015873,0.984126984,1,0.966101695,0.984375,0.838709677,1,0.868852459,0.947969312
SVM_ACC,0.981818182,0.910714286,1,0.924528302,0.950819672,1,0.966101695,0.857142857,1,1,0.949152542,0.90625,0.838709677,0.983333333,0.852459016,0.941401971
GB_ACC,0.963636364,0.910714286,1,0.981132075,0.950819672,1,0.915254237,0.904761905,0.523809524,0.927272727,0.915254237,0.96875,0.935483871,1,0.950819672,0.923180571
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,ACC(avg),F1(avg)
,,,,,,,,,,,,,,,0.919125141,0.884596726
