subject,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S13,S14,S15,S16,S17,total
DT_AUC,0.712435812,0.62273811,0.671856441,0.679454747,0.699518643,0.692221749,0.702497552,0.759971468,0.610190578,0.6570591,0.696877374,0.616877642,0.656510923,0.774936468,0.625351384,0.678566533
RF_AUC,0.715587361,0.783039535,0.710882505,0.601305596,0.677598863,0.710930229,0.709332449,0.785060691,0.646695784,0.651147657,0.800258774,0.694395874,0.686425178,0.754900644,0.705906658,0.708897853
AB_AUC,0.680207627,0.763324572,0.685850155,0.667578646,0.697678464,0.711423048,0.811607789,0.850605848,0.717242778,0.518547196,0.781540439,0.490452474,0.774975528,0.642328218,0.57935985,0.691514842
KN_AUC,0.732317159,0.691306005,0.698575072,0.643710491,0.751221464,0.707069056,0.730336415,0.787746823,0.772172716,0.672599677,0.834730754,0.688228334,0.690236543,0.666957796,0.625470144,0.71284523
LDA_AUC,0.722484978,0.804192879,0.721761775,0.65996732,0.695932711,0.706558793,0.747890749,0.755048466,0.773488003,0.765920855,0.815906558,0.699961755,0.712377216,0.83812616,0.734052753,0.743578065
SVM_AUC,0.71853355,0.698635057,0.7154956,0.621233898,0.705428176,0.722905364,0.768357251,0.783574879,0.769633934,0.682652456,0.802122128,0.681340459,0.678621437,0.771366322,0.677051674,0.719796812
GB_AUC,0.720529203,0.69209257,0.691406676,0.590437208,0.727020391,0.731886499,0.75984643,0.763439049,0.635881657,0.675454545,0.800955966,0.676264974,0.707378487,0.790410482,0.602297506,0.704353443
DT_F1,0.574225155,0.405237059,0.504334956,0.40302613,0.554333216,0.494137807,0.541448802,0.619556713,0.311393416,0.461385304,0.552755673,0.400818446,0.49095952,0.631879774,0.425876911,0.491424592
RF_F1,0.547371032,0.610668498,0.523214286,0.278464819,0.504480287,0.542570069,0.545366876,0.610148298,0.356575964,0.452120383,0.652364418,0.540632013,0.496921017,0.601770375,0.496012834,0.517245411
AB_F1,0.503297841,0.613494624,0.47998366,0.396645022,0.535683611,0.544892473,0.669582571,0.77760748,0.519901302,0.229128015,0.625902864,0.259479718,0.636392919,0.414835165,0.322951366,0.501985242
KN_F1,0.59959421,0.434920635,0.532634033,0.321172249,0.637590188,0.54800222,0.571839854,0.620821114,0.626503238,0.471742287,0.762745278,0.541706296,0.521823005,0.512608058,0.387415825,0.539407899
LDA_F1,0.561870421,0.661987522,0.552906977,0.315321477,0.531551932,0.534769963,0.598363593,0.603040842,0.621303207,0.600743243,0.67318314,0.542307692,0.536542121,0.705200501,0.535714286,0.571653795
SVM_F1,0.559750446,0.445819385,0.530563187,0.280646294,0.541985792,0.559409888,0.618326912,0.625394548,0.621096142,0.472113671,0.655305233,0.534193654,0.493965821,0.6253861,0.441666667,0.533708249
GB_F1,0.571119929,0.430803187,0.524774775,0.296035472,0.572768223,0.558213716,0.607606556,0.644805195,0.361214631,0.464966555,0.681927448,0.457668856,0.547780674,0.639127764,0.393269231,0.516805481
DT_ACC,0.631578947,0.474358974,0.530120482,0.421052632,0.607142857,0.552631579,0.597560976,0.720930233,0.418604651,0.538461538,0.62195122,0.494252874,0.564705882,0.658536585,0.487804878,0.554646287
RF_ACC,0.684210526,0.769230769,0.686746988,0.394736842,0.642857143,0.605263158,0.646341463,0.790697674,0.476744186,0.538461538,0.804878049,0.632183908,0.635294118,0.756097561,0.670731707,0.648965042
AB_ACC,0.618421053,0.730769231,0.56626506,0.513157895,0.678571429,0.605263158,0.646341463,0.848837209,0.639534884,0.282051282,0.756097561,0.287356322,0.752941176,0.597560976,0.451219512,0.598292547
KN_ACC,0.59959421,0.434920635,0.532634033,0.321172249,0.637590188,0.54800222,0.571839854,0.620821114,0.626503238,0.471742287,0.762745278,0.541706296,0.521823005,0.512608058,0.387415825,0.539407899
LDA_ACC,0.697368421,0.769230769,0.686746988,0.552631579,0.666666667,0.592105263,0.719512195,0.76744186,0.755813953,0.717948718,0.829268293,0.632183908,0.682352941,0.87804878,0.682926829,0.708683144
SVM_ACC,0.697368421,0.576923077,0.698795181,0.447368421,0.678571429,0.631578947,0.743902439,0.802325581,0.744186047,0.58974359,0.804878049,0.609195402,0.635294118,0.780487805,0.609756098,0.670024974
GB_ACC,0.697368421,0.564102564,0.626506024,0.381578947,0.714285714,0.631578947,0.731707317,0.744186047,0.465116279,0.576923077,0.780487805,0.597701149,0.658823529,0.792682927,0.43902439,0.626804876
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,ACC(avg),F1(avg)
,,,,,,,,,,,,,,,0.664741253,0.524604381
