subject,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S13,S14,S15,S16,S17,total
DT_AUC,0.7152492853215282,0.6969002796930099,0.7832165318957772,0.7206377500495148,0.7839155166985355,0.6972198767864403,0.7327068302068301,0.6617283950617284,0.6073455013892456,0.6599702704775169,0.653965848965849,0.743230551125288,0.7097790995127289,0.7801735301735301,0.5963898015311604,0.7028286045925788
RF_AUC,0.7396914293288895,0.7558479532163743,0.7866666666666666,0.6983759160229749,0.7037037037037037,0.7543859649122807,0.7202777777777777,0.6685185185185185,0.5094933723288835,0.7777777777777778,0.7537337662337662,0.7437109187109187,0.7112009131986934,0.7839506172839507,0.7758904595429903,0.7255483836816111
AB_AUC,0.6737512939958593,0.8064283150200439,0.8769451931716082,0.6984551396316102,0.7263063369195445,0.7754284329361729,0.6996031746031747,0.795679012345679,0.7318785273472601,0.7107487922705314,0.6748268398268399,0.778090428090428,0.8279174611305576,0.7690058479532164,0.6550512638633933,0.7466744039403946
KN_AUC,0.7846074633753584,0.8012704174228675,0.8001796945193171,0.7216032877797582,0.7543797659363699,0.7283164461957031,0.746547619047619,0.8033950617283953,0.7984874665063982,0.7648953301127214,0.7602200577200576,0.6616421103263209,0.7030885277833113,0.7502839915120617,0.736435407662038,0.7543568431752199
LDA_AUC,0.728228519668737,0.804844166610652,0.7866666666666666,0.7450980392156863,0.7114666605232642,0.6848672483347406,0.71765873015873,0.8148148148148148,0.8667881201011696,0.7697070776780922,0.7537337662337662,0.7220000759474443,0.6840965720266498,0.7839506172839507,0.7769708526092476,0.7567261285249074
SVM_AUC,0.7489648033126294,0.7867121507472384,0.7866666666666666,0.7238809665280254,0.7428056918622957,0.7370062857678957,0.7708333333333334,0.6901234567901234,0.8467182530738988,0.7777777777777778,0.7451839826839827,0.6546555783397888,0.7203679988363673,0.7690058479532164,0.7873748121126143,0.7525385070523903
GB_AUC,0.72460533126294,0.7835238315892447,0.7222641509433961,0.647157853040206,0.7816233556799596,0.6935570879069332,0.6887698412698412,0.8487654320987653,0.606555952150084,0.7619633090647584,0.7523581048581048,0.7175394293815347,0.683440605721405,0.7839506172839507,0.6786053916696871,0.7249786862613875
DT_F1,0.6053272450532724,0.5555055730494327,0.6715542521994134,0.6492307692307692,0.704954954954955,0.6116584564860427,0.6227106227106227,0.5314653383146534,0.42857142857142855,0.5099999999999999,0.5159749670619236,0.6143220143220143,0.5905583613916948,0.6784313725490195,0.4491665884854739,0.5826287962920477
RF_F1,0.5926288323548597,0.5755876068376068,0.6363636363636364,0.5648148148148149,0.5606943904650862,0.6277056277056277,0.5843621399176956,0.5166666666666666,0.23127168809961218,0.6205128205128205,0.5982142857142857,0.6003418803418804,0.6184704184704185,0.6306306306306306,0.6013698630136987,0.5706423534606226
AB_F1,0.5542028985507246,0.6940886699507388,0.8106280193236715,0.6120689655172414,0.6235092864125121,0.7072532076459807,0.5733525733525734,0.7097553373850709,0.6175925925925926,0.5747126436781609,0.5264069264069264,0.6525740025740027,0.7092352092352092,0.6176576576576577,0.5117461959567223,0.6329856124159857
KN_F1,0.6795855593330096,0.6634920634920635,0.7024154589371981,0.5766689450899978,0.6566168009205984,0.6126126126126127,0.6140350877192983,0.7719534050179212,0.7072532076459807,0.610989010989011,0.6946031746031746,0.5215686274509804,0.6062490906445511,0.6519526550255259,0.5584415584415584,0.6418958171948986
LDA_F1,0.5947293447293448,0.6612330198537095,0.6363636363636364,0.6296296296296297,0.5715020576131687,0.5845410628019324,0.5902255639097744,0.7524190222391421,0.8393815589201313,0.6690746474028207,0.5982142857142857,0.5909909909909911,0.5909515321280027,0.6306306306306306,0.5864527629233511,0.6350893163900366
SVM_F1,0.6092759426092759,0.6045108838185156,0.6363636363636364,0.5384126984126985,0.6006453214197072,0.6177777777777779,0.6286919831223629,0.5323529411764706,0.7800511508951407,0.6205128205128205,0.583732057416268,0.5238875238875239,0.6570719602977667,0.6176576576576577,0.5901960784313726,0.6094093622532663
GB_F1,0.5907973305233579,0.6428155528239633,0.6062500000000001,0.5753846153846154,0.7148407148407148,0.5904761904761905,0.562753036437247,0.7824561403508771,0.44054067997729973,0.5999424791486914,0.667008547008547,0.5651461988304093,0.5668859649122807,0.6306306306306306,0.5295081967213116,0.6043624185377424
DT_ACC,0.7636363636363637,0.6607142857142857,0.7333333333333333,0.6415094339622641,0.8032786885245902,0.5849056603773585,0.7796610169491526,0.6507936507936508,0.42857142857142855,0.6,0.6271186440677966,0.765625,0.6290322580645161,0.7833333333333333,0.45901639344262296,0.6607019660513797
RF_ACC,0.8,0.8035714285714286,0.8833333333333333,0.6981132075471698,0.7868852459016393,0.8301886792452831,0.7966101694915254,0.7301587301587301,0.36507936507936506,0.8363636363636363,0.8135593220338984,0.78125,0.7258064516129032,0.8666666666666667,0.8360655737704918,0.7702434539850714
